Name,Nickname,steam_id, tg elo, 1v1 elo
ITA Ale Atroo,ITA | Astroo,76561198433723068,1423,1075
GdR Antonio 23,null,-1,-1,-1
Came14,came14,76561198950354270,1079,1180
Hexandro 850,Hexandro,76561198386688130,805,1001
Dott. Stone,null,-1,-1,-1
Mosè,Mosè,76561198161093275,1433,1206
IlBuonFabio,cC.ilBuonFabio,76561198342887481,1278,1255
ITA Frades89,ITA | Frades89,76561199186999084,1244,1313
Palosandro,GdR_palosandro,76561198813974821,1150,1141
ITA Giaggiazena,ITA | GiaggiaZena,76561198882586307,1171,1262
HSL Ildeclospietato,HSL | IldecLoSpietato,76561198315152103,1289,1174
ITA Pizza,Fingerinthea55,76561199125896508,1178,1238
Lorenzo(MulhollandDrive8),MulhollandDrive8,76561198312090787,1055,1002
mdp89,mdp89,76561198873539405,1128,1090
Elnor,Elnor,76561198088015010,1092,1351
Auror,Auror,76561199032627394,1123,912
Maurinho,null,-1,-1,-1
ITA Mike89,ITA | mike89ca,76561198015757438,1280,985
playTheBlues/Aceventura,AceVentura,76561198849498636,590,771
Rino alluvione,Rino,76561198298177974,882,953
GdR Shenk,Shenk,76561198346324382,1354,1357
Drago,Drago Bianco Cazzo Duro,76561199236320886,939,1058
GdR Cillo,null,-1,-1,-1
Tonypolik,null,-1,-1,-1
Elinor,Elinor86,76561198019993139,1154,1090
Giulio DP,null,-1,-1,-1
