,Names,Discord Nick,Steam ID,Elo 1v1, Elo tg
0,ITA_Eltasco,eltasco,76561198318469036,1400,1400
1,JohnBaudelaire,JohnBaudelaire,76561198238842354,1400,1400
2,ITA | Canazzo,ITA | Canazzo,76561198094501237,1400,1400
3,ITA | Born to be Brain,ITA | Brain,76561198309292584,1400,1400
4,ITA | Carma,ITA | Carma ,76561199043804248,1400,1400
5,ITA | Francesco III,ITA | Francesco II,76561199119915303,1600,1600
6,ITA | GoldFish,ITA | GoldFish,76561199063481849,1400,1400
7,ITA | Judd_vp,ITA | Judd_vp,76561198421091864,1400,1400
8,ITA | Killer_Storm_,ITA | Killer_Storm_,76561198136062883,1400,1400
9,ITA | KINGDEROS,ITA | KingDeros,76561199111337673,1400,1400
10,ITA | Marknight,ITA | Marknight,76561198799814324,1400,1400
11,ITA | Mettiu,ITA | Mettiu,76561198074729763,1400,1400
12,ITA | Paviz,ITA | Paviz,76561198167412748,1400,1200
13,ITA | Popiiiii,ITA | Popiiiii,,1400,1400
14,ITA | TheMacallan,ITA | TheMacallan,76561198042401760,1400,1400
15,ITA | Veleno,ITA | Veleno,76561199009105833,1400,1400
16,ITA | Zuccolo,ITA | Zuccolo,76561198058763144,1400,1400
17,ITA | Raiden,ITA | Raiden,76561199033109750,1400,1400
18,ITA | Astroo,ITA | Astroo,76561198433723068,1400,1400
19,ITA | PizzaBoy,ITA | PizzaBoy,76561199125896508,1400,1400
20,ITA | GiaggiaZena,ITA | GiaggiaZena,76561198882586307,1400,1400
21,ITA | mike89ca,ITA | Mike89ca,76561198015757438,1400,1400
22,Frades,Frades89,-1,1400,1000
23,OS | Levi,OS | Levi,76561198080735424,1400,1400
24,OS | ScaryMantis,OS | ScaryMantis,76561198318357442,1400,1400
25,OS | Piero,OS | Pierovic,76561198447280848,1400,1100
26,OS | EvoL,OS | EvoL,76561198825383081,1400,1400
27,Biscottino,OS | Biscottino,76561198069164221,1400,1400
28,OS | Pitt_,OS | Pitt_,76561199003207978,1400,1400
29,OS | Gr0uch0,OS | Gr0uch0,76561198806440681,1400,1400
30,OS | PanzerFrank,OS | PanzerFrank,76561198203124327,1400,1400
31,OS | Shea,OS | Shea,76561199126396864,1400,1400
32,OS | Francio,OS | Francio,76561198088739448,1400,1400
33,OS | Carriage,OS | Carriage,76561199446784985,1400,1400
34,OS | Nessuno,OS | Nessuno,76561198070909974,1400,1800
35,OS | Vesuvius,OS | Vesuvius,76561198139527376,1400,1400
36,ETernal_Rookie,OS | ETernal_Rookie,76561198048046390,1400,1400
37,OS | Marquez5,OS | Marquez,76561198105745146,1400,1400
38,OS | RaiD_,OS | RaiD,76561198087580643,1400,1400
39,OS | TheKing,OS | TheKing,76561198203178387,1400,1400
40,OS | Kifur,OS | Kifur,76561198088989147,1400,1400
41,OS | dreamerion92,OS | Dreamerion92,76561198399678800,1400,1400
42,OSPeppino99,OS | Peppino,-1,1400,1400
43,OS | Pilot,OS | Pilot,76561199439034487,1400,1400
44,,OS | Midgard,76561198356567963,1400,1400
45,,OS | VonDutch,76561198215643820,1400,1400
46,,OS | Shiva_Fire,76561199175892718,1400,1400
47,,OS | DJ Snake,76561198803736992,1400,1400
48,Shades,Shades,76561199050788934,1400,1400
49,Sir_Hellequinn,Sir_Hellequinn,76561198253876282,1400,1400
50,HSL | Loris,HSL | Loris,76561198032241752,1400,1400
51,Nino D'Angelo,Gianni Morandi,76561198798933056,1400,1400
52,Nheltarion,Nheltarion,76561198084708503,1400,1400
53,HSL | AtomicMuffin,AtomicMuffin,76561198070534114,1400,1400
54,Fine Raider,Fine Raider,76561198052470142,1400,1400
55,HSL | MrDJM,HSL | MrDJM,76561198868537642,1400,1400
56,HSL | Faquilanoob,Faquilano,76561198869590593,1400,1400
57,HSL | Plissken,HSL | Plissken,76561198086160992,1400,1400
58,docNove,docNove,76561199062022354,1400,1400
59,HSL | bonch,HSL | bonch,76561199062288993,1400,1400
60,HSL | Muca,HSL | Muca,76561199073215193,1400,1400
61,HSL | Lupo,HSL | Lupo,76561198799223757,1400,1400
62,HSL | Tiniae,HSL | Tiniae,76561198396151252,1400,1400
63,HSL | Errik,HSL | Errik,76561197983405754,1400,1400
64,HSL | Putana Eva :),HSL | Putana Eva :),76561198413697268,1400,1400
65,HSL | Sewer RAT !!!,HSL | Sewer Rat,76561199368301081,1400,1400
66,HSL | P3rk_Ita,HSL | P3rk_Ita,76561198086802169,1400,1400
67,HSL | Eteocle,HSL | Eteocle,76561198837910783,1400,1400
68,HSL | Baffoman,HSL | Baffoman,76561198106787446,1400,1400
69,HSL | MrG,HSL | MrG,76561198202978273,1400,1400
70,,HSL | Jason Bourne,76561197989263979,1400,1400
71,HSL | Boom,HSL | Boom,76561198040632025,1400,1400
72,Eadkhan,Eadkhan,76561198041982928,1400,1400
73,Italian Lawyer / Twitch,Italian Lawyer,76561198252073718,1400,1400
74,KiryL,KiryL,76561198860374765,1400,1400
75,HSL | Maurko,HSL | Maurko,76561199112389977,1400,1400
76,Shinja,Shinja,76561198105789719,1400,1400
77,HSL | Carancho,HSL | Carancho,76561199044066861,1400,1400
78,,IlDecLoSpietato,76561198315152103,1400,1400
79,_Mich_,_Mich_,76561198067598986,1400,1400
80,frrexe,frrexe,76561199080256263,1400,1400
81,Revenge,Revenge,76561198116952763,1400,1400
82,Chrysaor,Chrysaor,76561198035741138,1400,1400
83,Uggio,Uggio,76561198095576663,1400,1400
84,Gigi,Gigi,76561198339466697,1400,1400
85,Sith,Sith,76561198035406680,1400,1400
86,Dott_Berlu,Berlu,76561198161560215,1400,1400
87,Gubana,Gubana,76561199029083501,1400,1400
88,RoR | Kamigawa,Kamigawa,76561198303883553,1400,1400
89,Klimt,Klimt,76561199186217032,1400,1400
90,Luca xia,Luca xia,76561199118691690,1400,1400
91,Luckywonder,Luckywonder,76561198425337329,1400,1400
92,NAPS | L'Ammiraglio,L'Ammiraglio,76561198355480784,1400,1400
93,Daniele,Daniele,76561198135086898,1400,1400
94,Pancarlino91,Pancarlino91,76561198253983231,1400,1400
95,nanimaren,Pete Martell,76561198401970946,1400,1400
96,Razers,Razers,,1400,1400
97,200pop,200pop,76561198273843024,1400,1400
98,Silveryx,Silveryx,76561198013303046,1400,1400
99,,Simvall,76561198219196057,1400,1400
100,MLT | Apo,MLT | Apo,76561197972858063,1400,1400
101,KTM || Giovigiova,Giovigiova,76561198097356813,1400,1400
102,MLT | 12castori,MLT | 12castori,76561198052311326,1400,1400
103,MLT | ArciereNapoletano,MLT | ArciereNapoletano,76561198889864630,1400,1400
104,MLT | Badibba,MLT | Badibba,76561198039650359,1400,1400
105,MLT | Bix4Qlimax,MLT | Bix4Climax,76561198055580397,1400,1400
106,MLT | dawson07,MLT | Dawson07,76561199066216060,1400,1400
107,Francecle91,MLT | Francecle91,-1,1400,1400
108,MLT | GerryPrime,MLT | GerryPrime,,1400,1400
109,MLT | GinLemon,MLT | GinLemon,76561199126745651,1400,1400
110,MLT | JimmyPage_9,MLT | JimmyPage,76561198145609157,1400,1400
111,MLT | LEO.SDR,MLT | LEO.SDR,76561199240568121,1400,1400
112,MLT | Mandrake,MLT | Mandrake,76561199068570016,1400,1400
113,MLT | Mr.Mordibiello,MLT | Mr.Mordibiello,76561198064050309,1400,1400
114,MLT | Paolo Turco,MLT | Paolo Turco,76561199048480607,1400,1400
115,MLT | Guillet Amed,MLT | Guillet Amed,76561199162286191,1400,1400
116,MLT | Jerich0,MLT | Jerich0,,1400,1400
117,Null,MLT | Null,76561198143302044,1400,1400
118,,MLT | Cyuffo,76561198263472376,1400,1400
119,,MLT | Sessagesimale,76561198417492609,1400,1400
120,[EVA] DOC,[EVA] DOC,76561198335294512,1400,1400
121,[EVA] FIKO,[EVA] FIKO,76561198065790219,1400,1400
122,Aik,Aik,,1400,1400
123,belphy,Belphy,76561199061618195,1400,1400
124,bossayan,bossayan,76561199021952709,1400,1400
125,Buck,Buck,76561199050258507,1400,1400
126,EVA | Jayce,Jayce,76561198090923390,1400,1400
127,EVA | Lord Kelvin,Lord_Kelvin,76561198045005945,1400,1400
128,EVA_luce990,Luce990,76561198061720901,1400,1400
129,Neisaroc,Neisaroc,76561198882033114,1400,1400
130,PlayerZX,PlayerZX,76561198963991599,1400,1400
131,EVA_Rinocherino,Rinocherino,76561198002665847,1400,1400
132,Shul,Shul,76561199039593464,1400,1400
133,UGottaBKidding,UGottaBKidding,76561198031144098,1400,1400
134,Principe,Principe,-1,1400,1400
135,John Sparrow [ITA],John Sparrow,76561198137306881,1400,1400
136,Yuffo,Yuffo,76561198410273154,1400,1400
137,Desert Fox,Desert Fox,76561198260590218,1400,1400
138,Pescio,Pescio,,1400,1400
139,GamEttoTv,Gametto,76561198156249512,1400,1400
140,IraFunesta,IraFunesta,76561198054932927,1400,1400
141,EVA | Lucio,EVA | Lucio,76561198068848643,1400,1400
142,HSL | Boemo88,EVA | Boemo,76561198273222772,1400,1400
143,GdR_Griffith,GdR_Griffith,76561198072470029,1400,1400
144,GdR_Cillo,GdR_Cillo,76561198134653573,1400,1400
145,GdR Ka,GdR Ka,76561199173475606,1400,1400
146,GdR_Tonno,GdR Tonno,76561198033799478,1400,1400
147,fedec94,fedec94,,1400,1400
148,GdR_ gambasimo95,gambasimo95,76561198406813870,1400,1400
149,GdR Malammor,GdR Malammor,76561198392044375,1400,1400
150,GdR_Nonno di heidi,GdR Nonno di Heidi,76561198077767462,1400,1400
151,GdR Polpo,GdR Polpo,,1400,1400
152,GdR_xsha,GdR XSha,76561198087251398,1400,1400
153,GdR_Condomttiero,GdR Condomttiero,76561198205647345,1400,1400
154,GdR_Macdek II,GdR MacDek II,76561198026495303,1400,1400
155,GdR_Mugudai,GdR Mugudai,76561198038938603,1400,1400
156,GdR_Scugo,GdR Scugo,76561198387158548,1400,1400
157,GdR_Pier1204,GdR Pier1204,76561198165979874,1400,1400
158,GdR_Salinaro,GdR Salinaro,76561198343233729,1400,1400
159,GdR_Qara Polemos,GdR Polemos,76561198830046739,1400,1400
160,GdR Taccio,GdR Taccio,,1400,1400
161,GdR Lordciccio,GdR Lordciccio,,1400,1400
162,GdR_TARABS,Tarabs,76561198070046408,1400,1400
163,maxpower97,GdR Mark Landers,76561198258402488,1400,1400
164,GdR_Nduja,GdR Monesi,76561199432375800,1400,1400
165,GdR OLY,GdR OLY,76561198044288036,1400,1400
166,GdR Crytec,GdR Crytec,,1400,1400
167,ViDo,ViDo,76561198086267249,1400,1400
168,Vpiallotutti,GdR Fantozzi,76561199063826557,1400,1400
169,GdR_xShinigami,GdR xShinigami,76561199209733196,1400,1400
170,ente,ente,,1400,1400
171,antonio23,antonio23,,1400,1400
172,shenk,shenk,76561198346324382,1400,1400
173,GdR_DeathKnight,GdR_DeathKnight,76561198359160959,1400,1400
174,GdR Jimbo,GdR Jimbo,,1400,1400
