,Names,Discord Nick,Steam ID,Elo 1v1, Elo tg
0,ITA_Eltasco,eltasco,76561198318469036,1210,1543
1,JohnBaudelaire,JohnBaudelaire,76561198238842354,1716,1474
2,ITA | Canazzo,ITA | Canazzo,76561198094501237,1497,1614
3,ITA | Born to be Brain,ITA | Brain,76561198309292584,1007,1609
4,ITA | Carma,ITA | Carma ,76561199043804248,1419,1420
5,ITA | Francesco III,ITA | Francesco II,76561199119915303,1570,1668
6,ITA | GoldFish,ITA | GoldFish,76561199063481849,1400,1400
7,ITA | Judd_vp,ITA | Judd_vp,76561198421091864,1579,1637
8,ITA | Killer_Storm_,ITA | Killer_Storm_,76561198136062883,1791,1700
9,ITA | KINGDEROS,ITA | KingDeros,76561199111337673,1538,1492
10,ITA | Marknight,ITA | Marknight,76561198799814324,1921,1569
11,ITA | Mettiu,ITA | Mettiu,76561198074729763,2207,1835
12,ITA | Paviz,ITA | Paviz,76561198167412748,1773,915
13,ITA | Popiiiii,ITA | Popiiiii,,1400,1400
14,ITA | TheMacallan,ITA | TheMacallan,76561198042401760,1074,1374
15,ITA | Veleno,ITA | Veleno,76561199009105833,1232,1272
16,ITA | Zuccolo,ITA | Zuccolo,76561198058763144,1970,1757
17,ITA | Raiden,ITA | Raiden,76561199033109750,1347,1214
18,ITA | Astroo,ITA | Astroo,76561198433723068,1423,1075
19,ITA | PizzaBoy,ITA | PizzaBoy,76561199125896508,1178,1198
20,ITA | GiaggiaZena,ITA | GiaggiaZena,76561198882586307,1167,1239
21,ITA | mike89ca,ITA | Mike89ca,76561198015757438,1280,967
22,Frades,Frades89,-1,1400,1000
23,OS | Levi,OS | Levi,76561198080735424,1444,1440
24,OS | ScaryMantis,OS | ScaryMantis,76561198318357442,1049,1907
25,OS | Piero,OS | Pierovic,76561198447280848,1706,1561
26,OS | EvoL,OS | EvoL,76561198825383081,1600,1468
27,Biscottino,OS | Biscottino,76561198069164221,1287,1206
28,OS | Pitt_,OS | Pitt_,76561199003207978,1518,1571
29,OS | Gr0uch0,OS | Gr0uch0,76561198806440681,1430,1320
30,OS | PanzerFrank,OS | PanzerFrank,76561198203124327,1196,1196
31,OS | Shea,OS | Shea,76561199126396864,1540,1522
32,OS | Francio,OS | Francio,76561198088739448,1471,1497
33,OS | Carriage,OS | Carriage,76561199446784985,1956,1608
34,OS | Nessuno,OS | Nessuno,76561198070909974,1785,1687
35,OS | Vesuvius,OS | Vesuvius,76561198139527376,1418,1420
36,ETernal_Rookie,OS | ETernal_Rookie,76561198048046390,1314,1456
37,OS | Marquez5,OS | Marquez,76561198105745146,1571,1377
38,OS | RaiD_,OS | RaiD,76561198087580643,1622,1987
39,OS | TheKing,OS | TheKing,76561198203178387,1719,1555
40,OS | Kifur,OS | Kifur,76561198088989147,1393,1393
41,OS | dreamerion92,OS | Dreamerion92,76561198399678800,1490,1712
42,OSPeppino99,OS | Peppino,-1,1400,1400
43,OS | Pilot,OS | Pilot,76561199439034487,1604,1474
44,OS | Midgard,OS | Midgard,76561198356567963,1548,1478
45,OS | VonDutch,OS | VonDutch,76561198215643820,1601,1713
46,OS | Shiva_Fire,OS | Shiva_Fire,76561199175892718,1692,1706
47,OS | DJ Snake,OS | DJ Snake,76561198803736992,1840,1639
48,Shades,Shades,76561199050788934,1806,2272
49,Sir_Hellequinn,Sir_Hellequinn,76561198253876282,1734,1958
50,HSL | Loris,HSL | Loris,76561198032241752,1683,1991
51,Nino D'Angelo,Gianni Morandi,76561198798933056,1630,1914
52,Nheltarion,Nheltarion,76561198084708503,1482,1610
53,HSL | AtomicMuffin,AtomicMuffin,76561198070534114,1513,1776
54,Fine Raider,Fine Raider,76561198052470142,1433,1314
55,HSL | MrDJM,HSL | MrDJM,76561198868537642,1565,1638
56,HSL | Faquilanoob,Faquilano,76561198869590593,1512,1395
57,HSL | Plissken,HSL | Plissken,76561198086160992,1417,1458
58,docNove,docNove,76561199062022354,1236,1324
59,HSL | bonch,HSL | bonch,76561199062288993,1360,1533
60,HSL | Muca,HSL | Muca,76561199073215193,1452,1551
61,HSL | Lupo,HSL | Lupo,76561198799223757,1448,1405
62,HSL | Tiniae,HSL | Tiniae,76561198396151252,1303,1385
63,HSL | Errik,HSL | Errik,76561197983405754,1309,1429
64,HSL | Putana Eva :),HSL | Putana Eva :),76561198413697268,1457,1710
65,HSL | Sewer RAT !!!,HSL | Sewer Rat,76561199368301081,1304,1314
66,HSL | P3rk_Ita,HSL | P3rk_Ita,76561198086802169,1489,1559
67,HSL | Eteocle,HSL | Eteocle,76561198837910783,1250,1417
68,HSL | Baffoman,HSL | Baffoman,76561198106787446,1250,1284
69,HSL | MrG,HSL | MrG,76561198202978273,1202,1258
70,HSL | Jason Bourne,HSL | Jason Bourne,76561197989263979,1442,1160
71,HSL | Boom,HSL | Boom,76561198040632025,1710,1646
72,Eadkhan,Eadkhan,76561198041982928,1613,1160
73,Italian Lawyer / Twitch,Italian Lawyer,76561198252073718,1824,1681
74,KiryL,KiryL,76561198860374765,1271,1338
75,HSL | Maurko,HSL | Maurko,76561199112389977,1383,1336
76,Shinja,Shinja,76561198105789719,1496,1198
77,HSL | Carancho,HSL | Carancho,76561199044066861,1313,1266
